CD,ProTerr,Pop,Mort1516,Mort1617,Mort1718,Mort1819,Mort Avg,Net Inter Mig 1516,Net Intra Mig 1516,Net Mig 1516,Net Inter Mig 1617,Net Intra Mig 1617,Net Mig 1617,Net Inter Mig 1718,Net Intra Mig 1718,Net Mig 1718,Net Inter Mig 1819,Net Intra Mig 1819,Net Mig 1819,Net Mig Avg,Net Mig Avg Mil,Mig,Mort Avg Mil,Mort,Post Sec Rate,Post Sec,Avg Income,Un rate,Un,VM rate,VM,Ind rate,Ind,POC rate,POC,MedAge
Division No. 11 (Census division) [Newfoundland and Labrador],Newfoundland and Labrador,"2,558",17,16,21,27,20.25,-8,-29,-37,6,13,19,-8,-11,-19,2,-19,-17,-13.5,-5277.560594,1,7916.340891,3,35.3,2,36380,29.9,5,0,1,91.8,5,91.8,5,33.6
Kings (County) [Prince Edward Island],Prince Edward Island,"17,160",148,157,179,173,164.25,71,-172,-101,157,-48,109,113,-82,31,98,-12,86,31.25,1821.095571,4,9571.678322,3,47.8,3,35947,15.7,4,1.2,1,2.1,1,3.3,1,48
Prince (County) ,Prince Edward Island,"43,730",374,412,474,467,431.75,37,-86,-49,321,-107,214,280,-10,270,403,-56,347,195.5,4470.615138,4,9873.084839,3,44.3,3,36163,14.7,3,1.9,1,2,1,3.9,1,46.4
Queens (County) [Prince Edward Island],Prince Edward Island,"82,017",592,703,715,749,689.75,-78,258,180,-34,155,121,-216,92,-124,161,68,229,101.5,1237.548313,4,8409.841862,3,59.9,4,41019,10.3,3,7,2,1.9,1,8.9,2,42.8
Annapolis (County),Nova Scotia,"20,591",258,246,303,317,281,89,112,201,231,125,356,239,63,302,319,-20,299,289.5,14059.54058,5,13646.73887,5,50.8,4,32581,13.1,3,1.7,1,5.3,2,7,2,52.7
Antigonish (County),Nova Scotia,"19,301",167,190,183,187,181.75,-11,-43,-54,-5,-22,-27,57,-42,15,87,-14,73,1.75,90.66887726,3,9416.610538,3,60.5,5,42393,11.6,3,4.5,1,8.7,2,13.2,3,45.2
Cape Breton (County),Nova Scotia,"98,722","1,305","1,323","1,297","1,311","1,309.00",-121,-337,-458,-179,-399,-578,-84,-268,-352,17,-394,-377,-441.25,-4469.621766,2,13259.45585,5,50,4,36566,17.6,4,2.5,1,7.9,2,10.4,3,48.9
Colchester (County),Nova Scotia,"50,585",516,591,599,604,577.5,48,115,163,2,-110,-108,91,65,156,104,101,205,104,2055.945438,4,11416.42779,4,50.8,4,37612,9.4,2,3.4,1,5.2,2,8.6,2,46.6
Cumberland (County),Nova Scotia,"30,005",396,412,448,472,432,5,-64,-59,106,13,119,82,-5,77,117,-20,97,58.5,1949.675054,4,14397.6004,5,47.1,3,36947,11.4,3,2.7,1,3.1,1,5.8,2,51.1
Digby (County),Nova Scotia,"17,323",221,208,227,249,226.25,68,-18,50,127,-80,47,86,-144,-58,76,-13,63,25.5,1472.031403,4,13060.67078,5,46.4,3,34000,15,4,2.9,1,11.8,3,14.7,3,52.1
Guysborough (County),Nova Scotia,"7,625",91,115,122,114,110.5,54,-94,-40,25,-62,-37,22,-80,-58,65,-45,20,-28.75,-3770.491803,2,14491.80328,5,42.6,3,35985,18.3,4,3.5,1,6.1,2,9.6,2,55.5
Halifax (County) ,Nova Scotia,"403,390","3,010","3,075","3,233","3,271","3,147.25",104,"1,345","1,449","1,532",993,"2,525","1,456","1,023","2,479","1,602","1,034","2,636","2,272.25",5632.886289,5,7802.003024,3,60,5,46429,7.3,2,11.4,3,4,1,15.4,3,41
Hants (County) ,Nova Scotia,"42,558",357,446,409,422,408.5,-16,-205,-221,105,-29,76,101,8,109,169,-189,-20,-14,-328.9628272,3,9598.665351,3,51.8,4,40293,8.7,2,2.5,1,6.1,2,8.6,2,44.8
Inverness (County),Nova Scotia,"17,235",204,203,232,232,217.75,78,-103,-25,74,-102,-28,17,-52,-35,56,-28,28,-15,-870.3220191,3,12634.17464,5,56.5,4,38191,17.6,4,1.3,1,9.4,2,10.7,3,50.6
Kings (County) [Nova Scotia],Nova Scotia,"60,600",589,584,585,632,597.5,-18,-106,-124,253,-91,162,265,-176,89,202,-84,118,61.25,1010.726073,4,9859.735974,3,53.3,4,37978,9.3,2,3.2,1,4.4,1,7.6,2,46.5
Lunenburg (County) ,Nova Scotia,"47,126",529,552,582,620,570.75,117,-6,111,154,104,258,262,-20,242,308,-23,285,224,4753.214786,4,12111.14884,4,52.4,4,38336,9.1,2,1.4,1,3.5,1,4.9,1,52
Pictou (County),Nova Scotia,"43,748",542,542,559,538,545.25,33,-207,-174,38,-70,-32,115,-119,-4,222,-86,136,-18.5,-422.8764744,3,12463.4269,4,52.9,4,40199,12.5,3,2.8,1,3.8,1,6.6,2,48.4
Queens (County) [Nova Scotia],Nova Scotia,"10,351",146,165,143,138,148,41,-48,-7,81,-85,-4,72,-73,-1,92,-30,62,12.5,1207.612791,4,14298.13545,5,46.5,3,34728,13.3,3,2,1,8.7,2,10.7,3,53.1
Richmond (County) ,Nova Scotia,"8,964",103,114,114,137,117,38,-87,-49,54,-28,26,41,-27,14,18,-4,14,1.25,139.4466756,3,13052.20884,5,51.5,4,35687,16.4,4,1.1,1,20.1,4,21.2,4,52.7
Shelburne (County),Nova Scotia,"13,966",190,181,201,187,189.75,111,-53,58,93,-99,-6,68,-105,-37,54,-70,-16,-0.25,-17.90061578,3,13586.56738,5,39.6,2,39323,11.3,3,2.2,1,10.4,3,12.6,3,50.4
